date,DDF484RTJ,DDF484ZJ,DDF484Z,DHP486RTJ,DHP486ZJ,DHP486Z,DTD172RTJ,DTD172ZJ,DTD172Z,DTD153RTJ,DTD153ZJ,DTD153Z,DBO180RTJ,DBO180ZJ,DBO180Z,DBO481RTJ,DBO481ZJ,DBO481Z,DBO480RTJ,DBO480ZJ,DBO480Z,VC3012L,VC3012M,DGA511ZJ,DGA511Z,DGA504RTJ,DGA504ZJ,DGA504Z,DJV181RTJ,DJV181ZJ,DJV181Z,DHS661ZJU,DHS783ZJU,199141-8,199826-6,LD030P,DTM52ZJX2,DRT50ZJX9,DRT50ZJX2,DAS180Z,DCL282FZB,DCL282FZ,E-05402,LS1110F,DLS111ZU,CP100DZ,Shark FlexStyle 5-in-1
03-11-2024,225.0,95.0,85.0,325.0,175.0,160.0,280.0,165.0,135.0,250.0,105.0,85.0,250.0,105.0,75.0,270.0,112.0,75.0,270.0,115.0,85.0,320.0,400.0,150.0,110.0,270.0,120.0,100.0,320.0,180.0,150.0,250.0,325.0,35.0,45.0,55.0,240.0,240.0,220.0,115.0,55.0,45.0,15.0,240.0,480.0,40.0,200.0
04-11-2024,282.4,118.89,105.0,382.47,218.62,196.0,347.7,202.5,170.95,391.96,134.1,98.0,307.48,127.0,91.0,339.56,119.81,102.0,354.76,142.81,103.27,360.0,513.0,186.73,138.0,339.85,164.0,136.0,409.64,226.0,180.0,306.0,405.54,51.0,58.95,72.0,311.01,299.99,276.0,144.0,57.35,85.49,23.8,301.41,785.9,80.85,200.0
05-11-2024,282.4,118.89,105.0,382.47,218.62,196.0,347.7,202.5,167.0,391.96,134.1,98.0,307.48,127.0,91.0,339.56,119.81,102.0,354.76,142.61,103.27,359.0,513.0,186.73,138.0,339.85,164.0,124.0,409.64,226.0,171.0,306.0,405.54,51.0,59.2,71.83,311.01,299.99,276.0,144.0,57.35,85.49,23.8,301.41,785.89,80.36,200.0
06-11-2024,282.4,118.89,105.0,386.95,218.95,196.0,351.95,202.95,167.0,309.95,135.0,98.0,311.95,127.0,91.0,339.56,119.81,102.0,354.76,142.41,104.0,359.0,513.0,189.95,142.0,339.95,165.0,124.0,413.95,226.0,171.0,306.0,409.95,51.0,59.2,71.83,311.01,299.99,276.0,144.0,57.35,85.49,23.8,301.41,785.95,80.36,200.0
07-11-2024,282.4,118.89,110.95,386.95,218.95,199.95,351.95,202.95,165.0,395.09,150.04,98.0,311.95,127.0,90.0,339.56,119.81,102.0,354.76,130.95,104.0,359.0,513.0,189.95,142.0,339.95,166.95,124.0,413.95,226.0,171.0,306.0,409.95,51.0,61.18,72.0,311.01,299.99,276.0,144.0,57.35,87.49,24.64,309.39,785.95,53.0,200.0
08-11-2024,273.96,118.89,105.0,386.95,213.7,199.95,351.95,199.0,165.0,309.95,135.0,98.0,311.95,127.0,90.99,328.26,119.81,90.06,337.4,126.21,104.0,359.0,513.0,187.64,138.0,339.95,165.0,124.0,413.95,226.0,171.0,306.0,390.1,51.0,59.2,71.83,300.85,297.9,276.0,144.0,57.35,80.93,23.8,301.41,785.95,53.0,200.0
09-11-2024,273.97,119.0,105.0,386.95,206.99,199.95,351.95,199.0,165.0,299.95,135.0,98.0,311.95,127.0,93.99,328.26,119.81,90.06,337.38,130.95,104.0,359.0,513.0,187.64,142.0,339.95,165.0,124.0,413.95,226.0,171.0,306.0,390.1,51.0,59.2,67.0,300.85,297.9,276.0,144.0,57.35,80.93,23.8,301.41,786.95,53.0,200.0
10-11-2024,273.97,118.89,105.0,386.95,216.5,199.95,351.95,199.0,165.0,299.95,135.0,98.0,311.95,127.0,92.99,328.26,119.81,90.06,337.38,129.81,104.0,359.0,513.0,187.64,142.0,339.95,165.0,124.0,413.95,226.0,171.0,306.0,390.1,51.0,59.2,67.0,300.85,299.99,276.0,144.0,57.35,80.93,23.8,301.41,786.95,53.0,200.0
11-11-2024,273.97,118.89,105.0,386.95,216.5,199.95,351.95,199.0,165.0,299.95,135.0,98.0,311.95,127.0,92.99,328.26,119.81,90.06,337.38,129.81,104.0,359.0,513.0,187.64,142.0,339.95,165.0,124.0,413.95,226.0,171.0,306.0,390.1,51.0,59.2,67.0,300.85,299.99,276.0,144.0,57.35,80.93,23.8,301.41,786.95,53.0,200.0
12-11-2024,273.97,118.89,105.0,386.95,208.0,199.95,351.95,199.0,165.0,299.95,135.0,98.0,311.95,127.0,92.99,328.26,119.81,90.06,337.38,129.81,104.0,411.79,513.0,187.64,142.0,339.95,164.0,117.0,413.95,226.0,171.0,306.0,390.1,51.0,59.2,67.0,300.9,299.99,277.0,144.0,57.35,80.93,23.8,301.41,786.95,53.0,191.99
13-11-2024,293.95,130.35,110.95,386.95,218.95,199.95,351.95,202.95,170.95,309.95,135.6,109.65,311.95,140.95,96.0,328.26,119.81,90.06,337.38,129.95,104.95,366.49,518.98,187.64,142.88,339.95,166.95,136.0,413.95,244.83,211.35,305.79,390.1,51.0,61.18,72.1,311.01,311.01,288.32,144.0,57.35,80.93,25.5,333.95,786.95,80.36,193.99
14-11-2024,273.96,118.89,105.0,386.95,216.5,199.95,351.95,199.0,165.0,309.95,135.0,98.0,311.95,127.0,89.99,328.26,119.81,91.0,337.38,129.86,104.0,366.49,513.0,187.64,142.0,339.95,165.0,117.0,423.0,226.0,171.0,305.79,390.1,51.0,59.21,67.0,303.86,296.9,277.0,144.0,57.35,80.93,23.8,301.41,786.95,53.0,193.99
